,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Year,Month,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
179034,Person and Vehicle search,0.0,,51.527753,0.033497,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.033497 51.527753),4321.0,4322.0,E01003608,Newham 028D,11406.0,4.0,239432.242477417,2427.46537396982,E01003608
179063,Person search,0.0,,51.583366,-0.072178,Male,18-24,Not Stated (NS),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.072178 51.583366),1027.0,1028.0,E01002072,Haringey 025D,5544.0,2.0,458758.216064453,4189.25126615382,E01002072
179104,Person search,0.0,,51.550955,-0.110157,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.110157 51.550955),,,,,,,,,
179140,Person search,0.0,,51.59399,-0.111114,Female,18-24,Mixed - Any other Mixed ethnic background (M9),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.111114 51.59399),2871.0,2872.0,E01002030,Haringey 016C,12975.0,4.0,723897.069366455,4764.72140593596,E01002030
179245,Person search,0.0,,51.550955,-0.110157,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.110157 51.550955),,,,,,,,,
179306,Person and Vehicle search,0.0,,51.522224,0.019831,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.019831 51.522224),4215.0,4216.0,E01003499,Newham 030A,4081.0,2.0,437812.575267792,3764.44506788537,E01003499
179307,Person search,0.0,,51.652283,-0.07975,Female,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.07975 51.652283),2403.0,2404.0,E01001536,Enfield 008B,15451.0,5.0,1127346.63358688,6041.27091434123,E01001536
179481,Person search,0.0,,51.55891,0.070161,Male,over 34,Mixed - Any other Mixed ethnic background (M9),Other,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.070161 51.55891),4433.0,4434.0,E01003728,Redbridge 032A,8420.0,3.0,692947.22460556,7580.66432860451,E01003728
179490,Person and Vehicle search,0.0,,51.589944,-0.018961,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.018961 51.589944),5133.0,5134.0,E01004460,Waltham Forest 011D,8097.0,3.0,358874.487215996,2935.22050462346,E01004460
179638,Person and Vehicle search,0.0,,51.535254,-0.109596,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.109596 51.535254),1640.0,1641.0,E01002696,Islington 020A,14178.0,5.0,381504.950515747,3766.48361295415,E01002696
179685,Person search,0.0,,51.515196,-0.071772,Male,25-34,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.071772 51.515196),5000.0,5001.0,E01004325,Tower Hamlets 021D,11050.0,4.0,349323.119358063,3512.72297162883,E01004325
179689,Person search,0.0,,51.51539,-0.070437,Male,25-34,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.070437 51.51539),5000.0,5001.0,E01004325,Tower Hamlets 021D,11050.0,4.0,349323.119358063,3512.72297162883,E01004325
179700,Person search,0.0,,51.509291,-0.477923,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.477923 51.509291),1479.0,1480.0,E01002531,Hillingdon 029E,16512.0,6.0,890930.890167236,4990.19250880645,E01002531
179774,Person search,0.0,,51.528832,0.060275,Male,18-24,Mixed - Any other Mixed ethnic background (M9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.060275 51.528832),4255.0,4256.0,E01003542,Newham 024D,6748.0,3.0,348494.714313507,3748.16468833743,E01003542
179798,Person and Vehicle search,0.0,,51.426653,-0.103667,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.103667 51.426653),3805.0,3806.0,E01003082,Lambeth 031C,7936.0,3.0,324267.334083557,3379.10002297235,E01003082
179870,Person search,0.0,,51.533729,0.054859,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.054859 51.533729),4234.0,4235.0,E01003521,Newham 018B,8772.0,3.0,347664.478309631,3317.63013588892,E01003521
179930,Person search,0.0,,51.537241,-0.071994,Male,25-34,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.071994 51.537241),2621.0,2622.0,E01001773,Hackney 025E,4810.0,2.0,314905.607158661,3712.29386690868,E01001773
180016,Person and Vehicle search,0.0,,51.524455,0.053461,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.053461 51.524455),4250.0,4251.0,E01003537,Newham 024C,10573.0,4.0,500821.89153862,4085.17215409533,E01003537
180045,Person search,0.0,,51.422338,-0.000917,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.000917 51.422338),3955.0,3956.0,E01003235,Lewisham 038A,8806.0,3.0,1256603.62372923,5774.48758521384,E01003235
180066,Person and Vehicle search,0.0,,51.533148,0.006876,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.006876 51.533148),4341.0,4342.0,E01003633,Newham 020C,4440.0,2.0,246859.977837324,2751.66463291046,E01003633
180163,Person and Vehicle search,0.0,,51.540942,0.035225,Male,over 34,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.035225 51.540942),4277.0,4278.0,E01003564,Newham 014B,9354.0,3.0,283755.092041016,2844.02280910132,E01003564
180178,Person and Vehicle search,0.0,,51.550539,0.048548,Male,25-34,Asian or Asian British - Indian (A1),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.048548 51.550539),4304.0,4305.0,E01003591,Newham 004D,6209.0,2.0,434553.763235092,3989.56205282548,E01003591
180252,Person and Vehicle search,0.0,,51.518078,0.02511,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.02511 51.518078),4221.0,4222.0,E01003507,Newham 031A,6282.0,2.0,374941.802560806,3694.38552798373,E01003507
180254,Person search,0.0,,51.461885,-0.137808,Male,25-34,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.137808 51.461885),3755.0,3756.0,E01003032,Lambeth 017B,7269.0,3.0,468984.980819702,3638.14100035479,E01003032
180363,Person search,0.0,,51.511663,0.017994,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.017994 51.511663),,,,,,,,,
180380,Person and Vehicle search,0.0,,51.519614,0.021546,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (0.021546 51.519614),4223.0,4224.0,E01003509,Newham 031C,5736.0,2.0,264341.33085537,2285.93271933492,E01003509
180393,Person and Vehicle search,0.0,,51.546938,-0.251275,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.251275 51.546938),518.0,519.0,E01000526,Brent 025D,3682.0,2.0,360536.192581177,3401.94629969901,E01000526
180521,Person search,0.0,,51.51249,-0.006729,Male,25-34,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.006729 51.51249),4924.0,4925.0,E01004243,Tower Hamlets 020A,5485.0,2.0,294248.630744934,2723.09816440158,E01004243
180545,Person search,0.0,,51.518729,-0.054297,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.054297 51.518729),4997.0,4998.0,E01004322,Tower Hamlets 017A,6983.0,3.0,360944.363334656,4045.42916486007,E01004322
180624,Person search,0.0,,51.50915,-0.134959,Male,18-24,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.134959 51.50915),5399.0,5400.0,E01004736,Westminster 018C,24862.0,8.0,3073166.35762024,11771.4038600084,E01004736
180725,Person and Vehicle search,0.0,,51.51245,-0.038999,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.038999 51.51245),,,,,,,,,
180735,Vehicle search,0.0,,51.591998,0.022462,,,,,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.022462 51.591998),4375.0,4376.0,E01003668,Redbridge 007A,25877.0,8.0,569381.11131382,3593.56926036797,E01003668
180781,Person and Vehicle search,0.0,,51.601192,-0.234045,Male,25-34,Not Stated (NS),Asian,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
180812,Person search,0.0,,51.591998,0.022462,Male,25-34,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.022462 51.591998),4375.0,4376.0,E01003668,Redbridge 007A,25877.0,8.0,569381.11131382,3593.56926036797,E01003668
180847,Person search,0.0,,51.541519,0.047552,Male,over 34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.047552 51.541519),4244.0,4245.0,E01003531,Newham 010C,8410.0,3.0,578243.395799637,3643.72454843253,E01003531
181042,Person and Vehicle search,0.0,,51.626069,-0.057856,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.057856 51.626069),2298.0,2299.0,E01001429,Enfield 030D,2781.0,1.0,632351.476020813,5010.29352355884,E01001429
181150,Person search,0.0,,51.520303,-0.179202,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.179202 51.520303),5366.0,5367.0,E01004702,Westminster 009E,3687.0,2.0,428452.82358551,3521.58899657643,E01004702
181165,Person and Vehicle search,0.0,,51.548991,-0.233471,Male,25-34,Asian or Asian British - Indian (A1),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.233471 51.548991),627.0,628.0,E01000641,Brent 024C,7673.0,3.0,282014.050079346,4141.45550897817,E01000641
181193,Person search,0.0,,51.404012,-0.292691,Male,18-24,Asian or Asian British - Indian (A1),Asian,Firearms,Offender given penalty notice,,,2016,6,POINT (-0.292691 51.404012),3690.0,3691.0,E01002966,Kingston upon Thames 010C,25187.0,8.0,1279223.97662354,7179.57798743437,E01002966
181384,Person and Vehicle search,0.0,,51.459724,-0.129158,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.129158 51.459724),3780.0,3781.0,E01003057,Lambeth 017D,5352.0,2.0,247809.077362061,3289.91849333249,E01003057
181414,Person and Vehicle search,0.0,,51.562203,-0.116789,Male,10-17,Mixed - White and Black Caribbean (M1),Black,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.116789 51.562203),1674.0,1675.0,E01002731,Islington 007B,11066.0,4.0,453965.857391357,4911.33414254002,E01002731
181516,Person and Vehicle search,0.0,,51.432505,-0.382492,Male,25-34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.382492 51.432505),4536.0,4537.0,E01003831,Richmond upon Thames 020D,24306.0,8.0,813987.53225708,7225.87714085282,E01003831
181589,Person search,0.0,,51.601971,-0.118147,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.118147 51.601971),2814.0,2815.0,E01001972,Haringey 004C,9943.0,4.0,534900.496940613,3769.61461492049,E01001972
181747,Person and Vehicle search,0.0,,51.527753,0.033497,Female,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.033497 51.527753),4321.0,4322.0,E01003608,Newham 028D,11406.0,4.0,239432.242477417,2427.46537396982,E01003608
181771,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,18-24,Not Stated (NS),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
181805,Person search,0.0,,51.522484,0.112288,Male,25-34,Mixed - Any other Mixed ethnic background (M9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.112288 51.522484),90.0,91.0,E01000094,Barking and Dagenham 022C,8930.0,3.0,1548498.53812408,8160.13258922153,E01000094
181811,Person and Vehicle search,0.0,,51.572834,-0.214696,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.214696 51.572834),216.0,217.0,E01000221,Barnet 039B,2878.0,1.0,1090140.75016785,7128.55027389954,E01000221
181813,Person and Vehicle search,0.0,,51.574807,-0.086005,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.086005 51.574807),2656.0,2657.0,E01001811,Hackney 002D,2394.0,1.0,223065.24564743,2833.09657177882,E01001811
181814,Person search,0.0,,51.578457,-0.008131,Male,18-24,Not Stated (NS),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.008131 51.578457),5080.0,5081.0,E01004405,Waltham Forest 020B,8814.0,3.0,308317.443610191,3509.49001811083,E01004405
181816,Person search,0.0,,51.543202,-0.254606,Male,18-24,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.254606 51.543202),520.0,521.0,E01000528,Brent 025F,2844.0,1.0,277760.402236938,4211.6286754662,E01000528
181870,Person and Vehicle search,0.0,,51.379938,-0.108214,Male,18-24,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.108214 51.379938),994.0,995.0,E01001013,Croydon 020B,2836.0,1.0,500332.992736816,5179.96214397923,E01001013
181959,Person and Vehicle search,0.0,,51.522276,-0.070867,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.070867 51.522276),4993.0,4994.0,E01004317,Tower Hamlets 009D,9244.0,3.0,707675.860996246,4287.80483007628,E01004317
182002,Person and Vehicle search,0.0,,51.502686,-0.084879,Male,25-34,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.084879 51.502686),4679.0,4680.0,E01003981,Southwark 006F,9885.0,4.0,490701.72240448,3940.03869225722,E01003981
182121,Vehicle search,0.0,,51.515655,-0.215534,,,,,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.215534 51.515655),1818.0,1819.0,E01002878,Kensington and Chelsea 003C,6319.0,2.0,311312.739181519,3061.29044650682,E01002878
182170,Person search,0.0,,51.531777,0.085986,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.085986 51.531777),44.0,45.0,E01000048,Barking and Dagenham 021B,3117.0,1.0,165268.299289703,2357.90328621544,E01000048
182199,Person and Vehicle search,0.0,,51.552973,0.02803,Male,18-24,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.02803 51.552973),4256.0,4257.0,E01003543,Newham 001A,11912.0,4.0,431535.124368668,3679.05015470695,E01003543
182462,Person and Vehicle search,0.0,,51.49207,-0.063773,Male,18-24,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.063773 51.49207),4728.0,4729.0,E01004042,Southwark 010D,2987.0,1.0,379716.402599335,3328.14774249414,E01004042
182484,Person search,0.0,,51.564916,0.102566,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.102566 51.564916),4472.0,4473.0,E01003767,Redbridge 024B,12449.0,4.0,520691.618278503,3925.66564162369,E01003767
182499,Person search,0.0,,51.505904,-0.144631,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.144631 51.505904),5399.0,5400.0,E01004736,Westminster 018C,24862.0,8.0,3073166.35762024,11771.4038600084,E01004736
182522,Person search,0.0,,51.481637,-0.054983,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.054983 51.481637),3684.0,3685.0,E01003988,Southwark 018B,7224.0,3.0,1000113.90916443,6272.18979188305,E01003988
182549,Person and Vehicle search,0.0,,51.522698,0.0221,Male,25-34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.0221 51.522698),4215.0,4216.0,E01003499,Newham 030A,4081.0,2.0,437812.575267792,3764.44506788537,E01003499
182554,Person and Vehicle search,0.0,,51.569361,-0.206333,Male,18-24,Not Stated (NS),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.206333 51.569361),131.0,132.0,E01000135,Barnet 038A,21585.0,7.0,862721.768325806,7160.06495165233,E01000135
182603,Person and Vehicle search,0.0,,51.534279,-0.11216,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.11216 51.534279),1639.0,1640.0,E01002695,Islington 021A,12467.0,4.0,304504.57144165,3682.47797096949,E01002695
182616,Person and Vehicle search,0.0,,51.60353,-0.357304,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.357304 51.60353),1106.0,1107.0,E01002151,Harrow 006D,6225.0,2.0,787631.989212036,5083.93841377609,E01002151
182663,Person and Vehicle search,0.0,,51.516031,0.016544,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.016544 51.516031),,,,,,,,,
182856,Person search,0.0,,51.631565,0.003616,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.003616 51.631565),5029.0,5030.0,E01004354,Waltham Forest 002C,20330.0,7.0,786416.865209341,5692.33683098133,E01004354
183118,Person search,0.0,,51.573213,-0.12036,Male,25-34,White - White Irish (W2),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.12036 51.573213),1697.0,1698.0,E01002756,Islington 001B,9162.0,3.0,297758.769134521,2960.36846599485,E01002756
183209,Person and Vehicle search,0.0,,51.404617,-0.119043,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.119043 51.404617),1961.0,1962.0,E01001090,Croydon 004D,11770.0,4.0,464382.458389282,4329.00140413919,E01001090
183236,Person and Vehicle search,0.0,,51.545208,0.015743,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (0.015743 51.545208),4270.0,4271.0,E01003557,Newham 006D,5271.0,2.0,457171.115354538,4401.37264955074,E01003557
183238,Person and Vehicle search,0.0,,51.527918,0.116187,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.116187 51.527918),90.0,91.0,E01000094,Barking and Dagenham 022C,8930.0,3.0,1548498.53812408,8160.13258922153,E01000094
183478,Person search,0.0,,51.482697,0.041401,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.041401 51.482697),2454.0,2455.0,E01001588,Greenwich 012A,5533.0,2.0,1333492.35894585,7633.46476027586,E01001588
183525,Person search,0.0,,51.55005,-0.054288,Male,25-34,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.054288 51.55005),2585.0,2586.0,E01001734,Hackney 017B,5446.0,2.0,347331.540462494,3812.45083356522,E01001734
183528,Person search,0.0,,51.567567,-0.213704,Male,10-17,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.213704 51.567567),217.0,218.0,E01000222,Barnet 040C,9539.0,3.0,1067340.38943481,6399.98931665066,E01000222
183653,Person and Vehicle search,0.0,,51.486014,-0.23085,Male,over 34,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.23085 51.486014),4506.0,4507.0,E01003801,Richmond upon Thames 001E,31478.0,10.0,809422.933273315,5434.12287639356,E01003801
183658,Person search,0.0,,51.547097,-0.009573,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.009573 51.547097),,,,,,,,,
183736,Person and Vehicle search,0.0,,51.549626,-0.054738,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.054738 51.549626),2610.0,2611.0,E01001760,Hackney 017C,4504.0,2.0,371715.72082901,3580.76478282465,E01001760
183847,Person and Vehicle search,0.0,,51.540568,0.002083,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.002083 51.540568),4328.0,4329.0,E01003619,Newham 012D,5784.0,2.0,657874.253228188,4964.73666160115,E01003619
184020,Person search,0.0,,51.522832,-0.209098,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.209098 51.522832),1793.0,1794.0,E01002853,Kensington and Chelsea 001B,1212.0,1.0,164503.129837036,1938.86240177383,E01002853
184092,Person search,0.0,,51.480807,0.089968,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.089968 51.480807),2526.0,2527.0,E01001671,Greenwich 033B,12091.0,4.0,499322.067325592,4118.12315641835,E01001671
184096,Person search,0.0,,51.487492,0.090792,Male,18-24,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.090792 51.487492),2530.0,2531.0,E01001675,Greenwich 006D,8659.0,3.0,404639.075305939,4059.10022065858,E01001675
184138,Person search,0.0,,51.553241,-0.055825,Male,over 34,Asian or Asian British - Indian (A1),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.055825 51.553241),,,,,,,,,
184265,Person search,0.0,,51.405524,-0.164282,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.164282 51.405524),4105.0,4106.0,E01003389,Merton 013C,12084.0,4.0,478112.611366272,5003.00445912425,E01003389
184538,Person and Vehicle search,0.0,,51.56855,0.083845,Male,25-34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.083845 51.56855),4461.0,4462.0,E01003756,Redbridge 023C,17117.0,6.0,647145.946643829,5158.2909642306,E01003756
184668,Person search,0.0,,51.546643,-0.144229,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.144229 51.546643),909.0,910.0,E01000927,Camden 007F,18974.0,6.0,264627.193565369,2673.19026046936,E01000927
184729,Person search,0.0,,51.556908,-0.298829,Male,25-34,Chinese or other ethnic group - Any other ethnic group (O9),Other,Firearms,Offender given penalty notice,,,2016,6,POINT (-0.298829 51.556908),560.0,561.0,E01000571,Brent 012B,12576.0,4.0,910139.245742798,4662.70088130366,E01000571
184732,Person and Vehicle search,0.0,,51.58307,-0.040161,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.040161 51.58307),5066.0,5067.0,E01004391,Waltham Forest 014A,13300.0,5.0,1911637.72201538,10414.3108921753,E01004391
184780,Person and Vehicle search,0.0,,51.535508,0.045205,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.045205 51.535508),4206.0,4207.0,E01003490,Newham 019C,7543.0,3.0,260253.04662323,3187.53830300719,E01003490
184784,Person search,0.0,,51.465178,-0.104215,Male,25-34,Not Stated (NS),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.104215 51.465178),3771.0,3772.0,E01003048,Lambeth 009B,4904.0,2.0,318693.362831116,3469.24920556735,E01003048
184825,Person search,0.0,,51.400976,-0.071504,Male,18-24,Black or Black British - Caribbean (B1),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.071504 51.400976),2016.0,2017.0,E01001145,Croydon 008C,4281.0,2.0,359847.83782959,4677.80676147951,E01001145
184901,Person and Vehicle search,0.0,,51.59535,-0.483148,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.483148 51.59535),1394.0,1395.0,E01002441,Hillingdon 003D,11576.0,4.0,18260755.6529236,29454.2749243042,E01002441
184945,Person search,0.0,,51.534841,0.034419,Male,25-34,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.034419 51.534841),4207.0,4208.0,E01003491,Newham 022A,8256.0,3.0,265929.813169479,2886.85122446303,E01003491
185028,Person search,0.0,,51.530172,0.037642,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.037642 51.530172),4208.0,4209.0,E01003492,Newham 025A,10800.0,4.0,250456.237375259,3040.82688528757,E01003492
185080,Person and Vehicle search,0.0,,51.592644,0.022029,Male,25-34,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.022029 51.592644),4381.0,4382.0,E01003674,Redbridge 007G,25801.0,8.0,700530.982674599,5865.29034025663,E01003674
185106,Person search,0.0,,51.616118,-0.084888,Male,,Not Stated (NS),Black,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.084888 51.616118),2427.0,2428.0,E01001560,Enfield 035F,6067.0,2.0,696305.977416992,4803.56333603001,E01001560
185136,Person search,0.0,,51.499702,-0.234498,Male,10-17,Not Stated (NS),Black,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.234498 51.499702),2771.0,2772.0,E01001928,Hammersmith and Fulham 011A,13864.0,5.0,489427.135269165,3963.55814272831,E01001928
185180,Person and Vehicle search,0.0,,51.50518,-0.219747,Male,25-34,Black or Black British - Any other Black ethnic background (B9),Black,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.219747 51.50518),2785.0,2786.0,E01001943,Hammersmith and Fulham 004A,6650.0,3.0,1141412.22929382,5592.78209300092,E01001943
185218,Person search,0.0,,51.398143,-0.126338,Male,18-24,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.126338 51.398143),4146.0,4147.0,E01003430,Merton 019B,7614.0,3.0,303665.205734253,3220.41495053576,E01003430
185233,Person search,0.0,,51.524281,0.005866,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.005866 51.524281),4216.0,4217.0,E01003500,Newham 027C,6133.0,2.0,1889897.2289536,9298.74231378698,E01003500
