,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Year,Month,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
237458,Person and Vehicle search,0.0,,51.521479,-0.191811,Male,25-34,Not Stated (NS),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.191811 51.521479),,,,,,,,,
237477,Person search,0.0,,51.477234,-0.357957,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (-0.357957 51.477234),1577.0,1578.0,E01002630,Hounslow 012A,16936.0,6.0,612943.284469604,3920.14573983939,E01002630
237562,Person and Vehicle search,0.0,,51.512355,-0.042996,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Articles for use in criminal damage,Offender given penalty notice,,,2016,10,POINT (-0.042996 51.512355),,,,,,,,,
237567,Person and Vehicle search,0.0,,51.555396,0.152474,Male,25-34,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,10,POINT (0.152474 51.555396),58.0,59.0,E01000062,Barking and Dagenham 006D,9781.0,3.0,583579.054252625,4523.03871648466,E01000062
237674,Person and Vehicle search,0.0,,51.463466,-0.01068,Male,over 34,Not Stated (NS),Black,Controlled drugs,Offender given penalty notice,,,2016,11,POINT (-0.01068 51.463466),4013.0,4014.0,E01003296,Lewisham 012E,8690.0,3.0,935279.860236645,5239.32080090482,E01003296
237698,Person and Vehicle search,0.0,,51.358938,-0.032233,Male,25-34,White - White British (W1),White,Controlled drugs,Offender given penalty notice,,,2016,11,POINT (-0.032233 51.358938),1935.0,1936.0,E01001064,Croydon 026C,21223.0,7.0,8898964.56544495,17085.3209267783,E01001064
237708,Person search,0.0,,51.516555,-0.007791,Male,18-24,Black or Black British - African (B2),Black,Controlled drugs,Offender given penalty notice,,,2016,11,POINT (-0.007791 51.516555),4930.0,4931.0,E01004249,Tower Hamlets 018D,3447.0,2.0,470834.886273384,4720.58082040208,E01004249
237759,Person search,0.0,,51.477078,-0.161425,Male,over 34,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,11,POINT (-0.161425 51.477078),5233.0,5234.0,E01004560,Wandsworth 001A,16606.0,6.0,1791010.66550446,8149.83614112929,E01004560
237848,Person search,0.0,,51.508961,-0.032074,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,Controlled drugs,Offender given penalty notice,,,2016,11,POINT (-0.032074 51.508961),4939.0,4940.0,E01004258,Tower Hamlets 023D,12802.0,4.0,257088.174137115,3089.10919430121,E01004258
237901,Person search,0.0,,51.489686,-0.135811,Male,25-34,Mixed - Any other Mixed ethnic background (M9),White,Controlled drugs,Offender given penalty notice,,,2016,11,POINT (-0.135811 51.489686),5404.0,5405.0,E01004741,Westminster 024F,13839.0,5.0,146300.802070618,2574.12306965491,E01004741
