,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Further_outcome,Year,Month,season,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
964105,Person and Vehicle search,0.0,,51.573671,-0.225991,Male,18-24,Other ethnic group - Not stated,Asian,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
964107,Person search,0.0,,51.573671,-0.225991,Male,18-24,Asian/Asian British - Pakistani,Asian,Controlled drugs,Arrest,,,1,2020,7,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
965101,Person and Vehicle search,0.0,,51.601192,-0.234045,Male,25-34,Other ethnic group - Not stated,Black,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
968919,Person and Vehicle search,0.0,,51.588945,-0.212722,Male,18-24,Asian/Asian British - Any other Asian background,Black,Evidence of offences under the Act,Penalty Notice for Disorder,,,1,2020,7,2,POINT (-0.212722 51.588945),233.0,234.0,E01000238,Barnet 034B,19485.0,6.0,565153.465118408,4129.99939104607,E01000238
968921,Person search,0.0,,51.588945,-0.212722,Male,18-24,Black/African/Caribbean/Black British - African,Black,Articles for use in criminal damage,Community resolution,,,1,2020,7,2,POINT (-0.212722 51.588945),233.0,234.0,E01000238,Barnet 034B,19485.0,6.0,565153.465118408,4129.99939104607,E01000238
968925,Person and Vehicle search,0.0,,51.588945,-0.212722,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Evidence of offences under the Act,A no further action disposal,,,1,2020,7,2,POINT (-0.212722 51.588945),233.0,234.0,E01000238,Barnet 034B,19485.0,6.0,565153.465118408,4129.99939104607,E01000238
969098,Person search,0.0,,51.573794,-0.230604,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Controlled drugs,Penalty Notice for Disorder,,,1,2020,7,2,POINT (-0.230604 51.573794),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
969106,Person search,0.0,,51.573794,-0.230604,Male,,Black/African/Caribbean/Black British - African,Black,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.230604 51.573794),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
969876,Person and Vehicle search,0.0,,51.582939,-0.22703,Male,18-24,Other ethnic group - Any other ethnic group,Asian,Offensive weapons,Summons / charged by post,,,1,2020,7,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
970256,Person search,0.0,,51.590288,-0.22123,Male,,Asian/Asian British - Any other Asian background,Asian,Evidence of offences under the Act,A no further action disposal,,,1,2020,7,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
971890,Person and Vehicle search,0.0,,51.577136,-0.2316,Male,25-34,White - Any other White background,White,Stolen goods,A no further action disposal,,,1,2020,7,2,POINT (-0.2316 51.577136),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
971891,Person and Vehicle search,0.0,,51.577136,-0.2316,Male,25-34,Other ethnic group - Not stated,White,Evidence of offences under the Act,A no further action disposal,,,1,2020,7,2,POINT (-0.2316 51.577136),305.0,306.0,E01000310,Barnet 034C,15067.0,5.0,802241.432769775,8121.73202495864,E01000310
973039,Person and Vehicle search,0.0,,51.576637,-0.239038,Male,18-24,Other ethnic group - Not stated,Other,Controlled drugs,Community resolution,,,1,2020,7,2,POINT (-0.239038 51.576637),300.0,301.0,E01000305,Barnet 036B,9115.0,3.0,1782162.58666992,9909.63976563407,E01000305
973478,Person and Vehicle search,0.0,,51.573671,-0.225991,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Stolen goods,Arrest,,,1,2020,7,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
976315,Person search,0.0,,51.601192,-0.234045,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Offensive weapons,A no further action disposal,,,1,2020,7,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
978164,Person search,0.0,,51.596555,-0.226515,Female,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Controlled drugs,Community resolution,,,1,2020,7,2,POINT (-0.226515 51.596555),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
979792,Person and Vehicle search,0.0,,51.590288,-0.22123,Male,,Other ethnic group - Not stated,Other,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.22123 51.590288),238.0,239.0,E01000243,Barnet 032C,19861.0,7.0,481714.240386963,5458.86111888,E01000243
980990,Person search,0.0,,51.594833,-0.23575,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,A no further action disposal,,,1,2020,7,2,POINT (-0.23575 51.594833),234.0,235.0,E01000239,Barnet 031A,13120.0,4.0,1121637.79927063,7129.27458479399,E01000239
