,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Further_outcome,Year,Month,season,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
996412,Person search,0.0,,51.594833,-0.23575,Male,,Black/African/Caribbean/Black British - African,Black,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.23575 51.594833),234.0,235.0,E01000239,Barnet 031A,13120.0,4.0,1121637.79927063,7129.27458479399,E01000239
996600,Person search,0.0,,51.594833,-0.23575,Male,18-24,Other ethnic group - Not stated,Black,Offensive weapons,A no further action disposal,,,1,2020,8,2,POINT (-0.23575 51.594833),234.0,235.0,E01000239,Barnet 031A,13120.0,4.0,1121637.79927063,7129.27458479399,E01000239
998261,Person search,0.0,,51.572227,-0.231026,Male,18-24,Mixed/Multiple ethnic groups - White and Asian,Other,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.231026 51.572227),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
999329,Person search,0.0,,51.601192,-0.234045,Male,18-24,White - Any other White background,White,Offensive weapons,Arrest,,,1,2020,8,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
1001084,Person and Vehicle search,0.0,,51.586039,-0.230403,Male,18-24,Asian/Asian British - Pakistani,Asian,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.230403 51.586039),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
1001580,Person search,0.0,,51.578694,-0.234094,Male,over 34,White - Irish,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.234094 51.578694),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
1001614,Person search,0.0,,51.601192,-0.234045,Female,25-34,White - Any other White background,White,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
1001615,Person search,0.0,,51.601192,-0.234045,Female,25-34,Other ethnic group - Not stated,White,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.234045 51.601192),235.0,236.0,E01000240,Barnet 031B,14717.0,5.0,1135794.57661438,7212.26296472686,E01000240
1001625,Person and Vehicle search,0.0,,51.582939,-0.22703,Male,25-34,White - Any other White background,White,Stolen goods,A no further action disposal,,,1,2020,8,2,POINT (-0.22703 51.582939),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
1002196,Person and Vehicle search,0.0,,51.578694,-0.234094,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Controlled drugs,A no further action disposal,,,1,2020,8,2,POINT (-0.234094 51.578694),301.0,302.0,E01000306,Barnet 036C,19906.0,7.0,374796.169204712,3209.44510100433,E01000306
1003206,Person and Vehicle search,0.0,,51.573671,-0.225991,Male,18-24,Asian/Asian British - Pakistani,Asian,Controlled drugs,Penalty Notice for Disorder,,,1,2020,8,2,POINT (-0.225991 51.573671),302.0,303.0,E01000307,Barnet 039D,11835.0,4.0,1290782.13354492,6918.15129737752,E01000307
1003672,Person search,0.0,,51.582978,-0.227188,Male,18-24,Asian/Asian British - Pakistani,Asian,Controlled drugs,Penalty Notice for Disorder,,,1,2020,8,2,POINT (-0.227188 51.582978),232.0,233.0,E01000237,Barnet 032A,25066.0,8.0,855450.465499878,5907.10335582659,E01000237
